row,E_F,p_f_source,p_f_python,p_f_difference,p_t_source,p_t_python,p_t_difference,n_f_source,n_f_python,n_f_difference,n_t_source,n_t_python,n_t_difference
7.800000000000000000e+01,-8.792999999999999261e+00,4.404939177552728945e+27,4.405946066519827772e+27,1.006888967098827643e+24,4.404939177564393114e+27,4.405946066531489743e+27,1.006888967096628620e+24,2.055088211874626503e-31,2.055088497346686351e-31,2.854720598479469663e-38,-4.404939177564392014e+27,-4.405946066531491392e+27,-1.006888967099377399e+24
7.900000000000000000e+01,-8.789999999999999147e+00,4.398773870855809926e+27,4.399779356912359619e+27,1.005486056549692238e+24,4.398773870867482891e+27,4.399779356924022138e+27,1.005486056539246878e+24,2.085078514646642599e-31,2.085078772041506068e-31,2.573948634686526106e-38,-4.398773870867474095e+27,-4.399779356924023238e+27,-1.005486056549142483e+24
8.000000000000000000e+01,-8.787000000000000810e+00,4.392611218809956817e+27,4.393615301982742027e+27,1.004083172785209842e+24,4.392611218821624834e+27,4.393615301994403997e+27,1.004083172779162528e+24,2.115069883301140253e-31,2.115070115341302985e-31,2.320401627324466918e-38,-4.392611218821619337e+27,-4.393615301994405646e+27,-1.004083172786309354e+24
8.100000000000000000e+01,-8.784000000000000696e+00,4.386451247700040714e+27,4.387453928077068001e+27,1.002680377027287400e+24,4.386451247711694437e+27,4.387453928088730521e+27,1.002680377036083493e+24,2.145062200710375816e-31,2.145062409859233369e-31,2.091488575532755511e-38,-4.386451247711703233e+27,-4.387453928088731070e+27,-1.002680377027837156e+24
8.200000000000000000e+01,-8.781000000000000583e+00,4.380293981073885434e+27,4.381295258798632270e+27,1.001277724746836290e+24,4.380293981085537508e+27,4.381295258810294790e+27,1.001277724757281651e+24,2.175055362611309393e-31,2.175055551097149220e-31,1.884858398264178513e-38,-4.380293981085543006e+27,-4.381295258810295890e+27,-1.001277724752883604e+24
8.300000000000000000e+01,-8.778000000000000469e+00,4.374139440042801426e+27,4.375139315309008357e+27,9.998752662069310642e+23,4.374139440054457899e+27,4.375139315320670327e+27,9.998752662124286223e+23,2.205049276193907869e-31,2.205049446031824310e-31,1.698379164414169848e-38,-4.374139440054458448e+27,-4.375139315320671427e+27,-9.998752662129783781e+23
8.400000000000000000e+01,-8.775000000000000355e+00,4.367987643549251429e+27,4.368986116596165588e+27,9.984730469141589724e+23,4.367987643560909001e+27,4.368986116607828108e+27,9.984730469191067747e+23,2.235043858844091288e-31,2.235044011855912478e-31,1.530118211898848129e-38,-4.367987643560911750e+27,-4.368986116607829208e+27,-9.984730469174575073e+23
8.500000000000000000e+01,-8.772000000000000242e+00,4.361838608605154226e+27,4.362835679713220897e+27,9.970711080666709518e+23,4.361838608616811798e+27,4.362835679724883417e+27,9.970711080716187541e+23,2.265039037024431696e-31,2.265039174856851486e-31,1.378324197897500200e-38,-4.361838608616812898e+27,-4.362835679724884517e+27,-9.970711080716187541e+23
8.600000000000000000e+01,-8.769000000000000128e+00,4.355692350504045308e+27,4.356688019991018403e+27,9.956694869730955562e+23,4.355692350515703430e+27,4.356688020002680923e+27,9.956694869774936027e+23,2.295034745277569816e-31,2.295034869418617849e-31,1.241410480328605783e-38,-4.355692350515703979e+27,-4.356688020002681473e+27,-9.956694869774936027e+23
8.700000000000000000e+01,-8.766000000000000014e+00,4.349548883010013652e+27,4.350543151227409238e+27,9.942682173955865838e+23,4.349548883021681669e+27,4.350543151239071208e+27,9.942682173895392698e+23,2.325030925338906289e-31,2.325031037132929195e-31,1.117940229053654023e-38,-4.349548883021677271e+27,-4.350543151239072858e+27,-9.942682173955865838e+23
